n,tau_star,B,tau_w,m,neg_MSE
0.5021605881177208,578197.8294934665,539376.1406383811,1.0,1.9,-19026.403036687374
0.6,103885.4723563154,553436.7460240746,0.6119857682322064,1.9,-26523.685609953944
0.6,329037.0509744095,629353.5612450598,1.0,1.0,-12916.346326669767
0.3318545059609224,837951.8998178401,989642.6500582264,0.5582221383536256,1.9,-96055.25866971239
0.6,139994.99276921703,951441.7992859198,1.0,1.0,-22440.879806948797
0.6,210285.7073755003,705865.6862905185,1.0,1.3163376237857238,-13202.682228129474
0.2,694336.0255744958,888369.3877688544,0.5865521779293271,1.0,-21163.49106584392
0.6,972234.0620641294,460498.72026608716,1.0,1.0,-17826.16471993953
0.2888959866797009,936977.6327408343,613362.2836958009,0.8494848904980052,1.9,-35663.21743062697
0.4584819312310325,969044.0323438864,501549.2720545842,1.0,1.0,-16074.85744402986
0.6,873774.0828842137,461884.7466991259,0.8018516686560118,1.9,-16393.05278340326
0.4066435192655179,122849.90031785109,710410.8713461624,0.6751126220747644,1.9,-31471.097771532655
0.5534317704450713,998064.5969168571,470870.32051750895,0.7562501596153606,1.0,-19827.465718002455
0.30085860850660195,434561.57951728435,871584.0635295139,0.5859590467921993,1.0,-21413.49920419956
0.5116131058406891,976899.2010239171,520952.16923175997,0.8662770501299242,1.6204822798013503,-24343.919958692277
0.6,241237.56625518677,653507.5372172532,0.6387977613930762,1.0799111933376873,-16701.34848236848
0.21918753317630887,114350.25063621752,847935.073570833,1.0,1.0,-75453.10725791988
0.6,317746.98329139967,571205.5922542678,0.7225826296693032,1.9,-14983.825698735294
0.2,371818.4386740621,992365.670523539,0.5718008356581771,1.0,-16243.095439134631
0.6,201047.27754087545,681104.4216107902,0.890543850952237,1.0,-16143.71215942819
0.5169033908039556,185153.55053539676,661504.9096370691,0.6665384380855012,1.2996465644312247,-17680.712569396946
0.6,983259.4735695696,350109.9975827295,0.690197109717682,1.9,-18216.150444187537
0.2,577811.242690717,941637.3162522264,0.45081970468153215,1.0,-22329.07815857581
0.6,696815.6649823061,467915.9593176597,0.7033275071286418,1.9,-18675.39883326415
0.6,977416.8186423158,476651.3400033412,0.7293200819606208,1.9,-19422.292386441604
0.6,274379.4395419949,632037.2754693128,0.9368291774747389,1.9,-18226.81311253422
